Transcription	stressInfoA	stressInfoB	Orthography	Frequency	PoSs
t.æ.m.ə.ɹ.æ.k	'_`	S3	tamarack	0	(N)
t.æ.m.ə.ɹ.ə.n.d	'__	S3	tamarind	0	(N)
t.æ.m.b.ɚ.i.n	`_'	S3	tambourine	2	(N)
t.eɪ.m	'	S1	tame	5	(AJ VT VI)
t.æ.m.p	'	S1	tamp	1	(VT N)
t.æ.m.p.ɚ	'_	S2	tamper	1	(VB VT)
t.æ.n	'	S1	tan	10	(VT VI N AJ)
t.æ.n.b.ɑ.ɹ.k	'`	S2	tanbark	0	(N)
t.æ.n.d.ə.m	'_	S2	tandem	1	(N AV)
t.æ.ŋ	'	S1	tang	6	(VT VB N)
t.æ.n.dʒ.ɪ.n.t	'_	S2	tangent	26	(AJ N)
t.æ.n.dʒ.ɛ.n.tʃ.l̩	_'_	S3	tangential	1	(AJ)
t.æ.n.dʒ.ɚ.i.n	`_'	S3	tangerine	0	(N)
t.æ.n.dʒ.ɪ.b.ɪ.l.ɪ.t.i	`_'__	S5	tangibility	0	(N)
t.æ.n.dʒ.ɪ.b.l̩	'__	S3	tangible	19	(AJ N)
t.æ.ŋ.g.l̩	'_	S2	tangle	8	(VT VI N)
t.æ.ŋ.g.oʊ	'`	S2	tango	2	(N VI NIL)
t.æ.ŋ.k	'	S1	tank	13	(N VT)
t.æ.ŋ.k.ɚ.d	'_	S2	tankard	0	(N)
t.æ.ŋ.k.ɚ	'_	S2	tanker	0	(N)
t.æ.n.ɚ	'_	S2	tanner	0	(N)
t.æ.n.ɪ.n	'_	S2	tannin	1	(N)
t.æ.n.t.ə.l.aɪ.z	'_`	S3	tantalize	0	(VB)
t.æ.n.t.l̩.ṃ	'__	S3	tantalum	0	(N)
t.æ.n.t.ə.m.aʊ.n.t	'_`	S3	tantamount	3	(AJ)
t.æ.n.t.ɹ.ə.m	'_	S2	tantrum	2	(N)
t.æ.p	'	S1	tap	18	(VT VI N)
t.eɪ.p	'	S1	tape	35	(N VT VI)
t.eɪ.p.ɚ	'_	S2	taper	3	(AJ VB N)
t.æ.p.ə.s.t.ɹ.i	'__	S3	tapestry	5	(N)
t.eɪ.p.w.ɚ.m	'`	S2	tapeworm	0	(N)
t.æ.p.i.oʊ.k.ə	`_'_	S4	tapioca	0	(N)
t.eɪ.p.ɚ	'_	S2	tapir	0	(N)
t.æ.p.ɹ.u.m	'`	S2	taproom	0	(N)
t.æ.p.s	'	S1	taps	1	(N)
t.æ.p.s.t.ɚ	'_	S2	tapster	0	(N)
t.ɑ.ɹ	'	S1	tar	13	(N VT)
t.ɚ.æ.n.tʃ.ʊ.l.ə	_'__	S4	tarantula	0	(N)
t.ɑ.ɹ.d.i	'_	S2	tardy	1	(AJ)
t.æ.ɹ	'	S1	tare	0	(N VT)
t.ɑ.ɹ.g.ɪ.t	'_	S2	target	47	(N VT)
t.æ.ɹ.ə.f	'_	S2	tariff	6	(N VT)
t.ɑ.ɹ.n	'	S1	tarn	0	(N)
t.ɑ.ɹ.n.ɪ.ʃ	'_	S2	tarnish	0	(VT VI)
t.ɑ.ɹ.p.ɔ.l.ɪ.n	_'_	S3	tarpaulin	1	(N)
t.ɑ.ɹ.p.ə.n	'_	S2	tarpon	1	(N)
t.æ.ɹ.i	'_	S2	tarry	1	(VI N AJ)
t.ɑ.ɹ.t	'	S1	tart	7	(AJ N)
t.ɑ.ɹ.t.ṇ	'_	S2	tartan	0	(N)
t.ɑ.ɹ.t.ɚ	'_	S2	tartar	0	(N)
t.ɑ.ɹ.t.æ.ɹ.ɪ.k	_'_	S3	tartaric	0	(AJ)
t.æ.s.k	'	S1	task	60	(N VT)
t.æ.s.l̩	'_	S2	tassel	0	(N VT VI)
t.eɪ.s.t	'	S1	taste	59	(VT VI N)
t.eɪ.s.t.i	'_	S2	tasty	2	(AJ)
t.æ.t	'	S1	tat	2	(VI VT)
t.æ.t.ɚ	'_	S2	tatter	0	(N VB)
t.æ.t.ɚ.d.ɪ.m.eɪ.l.j.ə.n	`__'_	S5	tatterdemalion	0	(N)
t.æ.t.ɪ.ŋ	'_	S2	tatting	0	(N)
t.æ.t.l̩	'_	S2	tattle	1	(VI VT N)
t.æ.t.u	_'	S2	tattoo	0	(N VT)
t.ɔ.t	'	S1	taught	50	(null)
t.ɔ.n.t	'	S1	taunt	4	(VT N AJ)
t.oʊ.p	'	S1	taupe	0	(N)
t.ɔ.t	'	S1	taut	9	(AJ VT)
t.æ.v.ɚ.n	'_	S2	tavern	2	(N)
t.ɔ	'	S1	taw	0	(VT VI N)
t.ɔ.d.ɹ.i	'_	S2	tawdry	2	(N AJ)
t.ɔ.n.i	'_	S2	tawny	4	(AJ N)
t.æ.k.s	'	S1	tax	222	(VT N)
t.æ.k.s.eɪ.ʃ.ɪ.n	_'_	S3	taxation	11	(N)
t.æ.k.s.i	'_	S2	taxi	17	(N VI VT)
t.æ.k.s.i.k.æ.b	'_`	S3	taxicab	1	(N)
t.æ.k.s.ə.d.ɚ.m.i	'_`_	S4	taxidermy	0	(N)
t.æ.k.s.ṇ.ɑ.m.ɪ.k	`_'_	S4	taxonomic	0	(AJ)
t.æ.k.s.ɑ.n.ə.m.i	_'__	S4	taxonomy	0	(N)
t.æ.k.s.p.eɪ.ɚ	'`_	S3	taxpayer	11	(N)
t.i	'	S1	tea	31	(N)
t.i.tʃ	'	S1	teach	41	(VT VI)
t.i.k	'	S1	teak	0	(N)
t.i.l	'	S1	teal	0	(N)
t.i.m	'	S1	team	86	(N VT VI AJ)
t.i.m.m.eɪ.t	'`	S2	teammate	2	(N)
t.i.m.s.t.ɚ	'_	S2	teamster	1	(N)
t.ɛ.ɹ	'	S1	tear	13	(VT VI N)
t.i.z	'	S1	tease	6	(VT N)
t.i.z.l̩	'_	S2	teasel	0	(N VT)
t.i.s.p.u.n	'`	S2	teaspoon	4	(N)
t.ɪ.t	'	S1	teat	0	(N)
t.ɛ.k.n.ɪ.k	'_	S2	technic	0	(AJ N)
t.ɛ.k.n.ɪ.k.l̩	'__	S3	technical	121	(AJ)
t.ɛ.k.n.ə.k.æ.l.ɪ.t.i	`_'__	S5	technicality	0	(N)
t.ɛ.k.n.ɪ.ʃ.ɪ.n	_'_	S3	technician	6	(N)
t.ɛ.k.n.i.k	_'	S2	technique	60	(N)
t.ɛ.k.n.ɑ.k.ɹ.ɪ.s.i	_'__	S4	technocracy	0	(N)
t.ɛ.k.n.ə.k.ɹ.æ.t	'_`	S3	technocrat	0	(N)
t.ɛ.k.n.ə.k.ɹ.æ.t.ɪ.k	`_'_	S4	technocratic	0	(AJ)
t.ɛ.k.n.ə.l.ɑ.dʒ.ɪ.k.l̩	`_'__	S5	technological	18	(AJ)
t.ɛ.k.n.ɑ.l.ə.dʒ.i	_'__	S4	technology	43	(N)
t.i.d.i.ə.s	'__	S3	tedious	6	(AJ)
t.i.d.i.ə.m	'__	S3	tedium	1	(N)
t.i	'	S1	tee	5	(N VT)
t.i.m	'	S1	teem	0	(VI VT)
t.i.n.z	'	S1	teens	5	(N)
t.i.n.i	'_	S2	teeny	0	(AJ)
t.i.t.ɚ	'_	S2	teeter	0	(VI)
t.i.θ	'	S1	teeth	103	(null)
t.i.ð	'	S1	teethe	0	(VI)
t.i.t.oʊ.t.l̩	'`_	S3	teetotal	0	(AJ)
t.ɛ.l.ɪ.k.æ.s.t	'_`	S3	telecast	0	(VB)
t.ɛ.l.ɪ.k.ə.m.j.u.n.ə.k.eɪ.ʃ.ɪ.n	`__`_'_	S7	telecommunication	0	(N)
t.ɛ.l.ə.g.ɹ.æ.m	'_`	S3	telegram	8	(N VB)
t.ə.l.ɛ.g.ɹ.ə.f.ɚ	_'__	S4	telegrapher	3	(N)
t.ɛ.l.ə.g.ɹ.æ.f.ɪ.k	`_'_	S4	telegraphic	3	(AJ)
t.ə.l.ɛ.g.ɹ.ə.f.i	_'__	S4	telegraphy	1	(N)
t.ɛ.l.ə.m.i.t.ɚ	'_`_	S4	telemeter	0	(N VT)
t.ɛ.l.ə.m.ɛ.t.ɹ.ɪ.k	`_'_	S4	telemetric	0	(AJ)
t.ə.l.ɛ.m.ə.t.ɹ.i	_'__	S4	telemetry	0	(N)
t.ɛ.l.ə.p.æ.θ.ɪ.k	`_'_	S4	telepathic	0	(AJ)
t.ə.l.ɛ.p.ə.θ.i	_'__	S4	telepathy	3	(N)
t.ɛ.l.ə.f.oʊ.n	'_`	S3	telephone	77	(N VI VT)
t.ɛ.l.ə.f.ɑ.n.ɪ.k	`_'_	S4	telephonic	0	(AJ)
t.ə.l.ɛ.f.ə.n.i	_'__	S4	telephony	0	(N)
t.ɛ.l.ɪ.f.oʊ.t.oʊ	`_'`	S4	telephoto	0	(AJ N TM)
t.ɛ.l.ɪ.s.k.oʊ.p	'_`	S3	telescope	4	(N VI VT)
t.ɛ.l.ɪ.s.k.ɑ.p.ɪ.k	`_'_	S4	telescopic	1	(AJ)
t.ɛ.l.ə.v.j.u	'_`	S3	teleview	0	(VI)
t.ɛ.l.ə.v.aɪ.z	'_`	S3	televise	0	(VT VI)
t.ɛ.l.ə.v.ɪ.ʒ.ɪ.n	'_`_	S4	television	50	(N)
t.ɛ.l	'	S1	tell	271	(VT VI)
t.ɛ.l.t.eɪ.l	'`	S2	telltale	0	(N)
t.ə.l.ʊ.ɹ.i.ə.m	_'__	S4	tellurium	0	(N)
t.ɛ.m.b.l.ɚ	'_	S2	temblor	0	(N)
t.ə.m.ɛ.ɹ.ə.t.i	_'__	S4	temerity	1	(N)
t.ɛ.m.p.ɚ	'_	S2	temper	12	(VT VI N)
t.ɛ.m.p.ɚ.m.ə.n.t	'__	S3	temperament	7	(N)
t.ɛ.m.p.ɚ.m.ɛ.n.t.l̩	`_'_	S4	temperamental	0	(AJ)
t.ɛ.m.p.ɚ.ə.n.s	'__	S3	temperance	1	(N)
t.ɛ.m.p.ɚ.ɪ.t	'__	S3	temperate	2	(AJ)
t.ɛ.m.p.ɹ.ə.tʃ.ʊ.ɹ	'_`	S3	temperature	143	(N)
t.ɛ.m.p.ə.s.t	'_	S2	tempest	2	(N VT)
t.ɛ.m.p.ɛ.s.tʃ.u.ə.s	_'__	S4	tempestuous	0	(AJ)
t.ɛ.m.p.l̩	'_	S2	temple	37	(N)
t.ɛ.m.p.l.ɪ.t	'_	S2	templet	0	(N)
t.ɛ.m.p.oʊ	'`	S2	tempo	4	(N)
t.ɛ.m.p.ɚ.l̩	'__	S3	temporal	5	(AJ)
t.ɛ.m.p.ə.ɹ.ɛ.ɹ.ə.l.i	`_'__	S5	temporarily	20	(AV)
t.ɛ.m.p.ɚ.ɛ.ɹ.i	'_`_	S4	temporary	32	(AJ)
t.ɛ.m.p.ɚ.aɪ.z	'_`	S3	temporize	1	(VI)
t.ɛ.m.p.t	'	S1	tempt	2	(VT)
t.ɛ.m.p.t.eɪ.ʃ.ɪ.n	_'_	S3	temptation	12	(N)
t.ɛ.m.p.t.ɹ.ɪ.s	'_	S2	temptress	0	(N)
t.ɛ.n	'	S1	ten	183	(N)
t.ɛ.n.ə.b.ɪ.l.ɪ.t.i	`_'__	S5	tenability	0	(N)
t.ɛ.n.ə.b.l̩	'__	S3	tenable	4	(AJ)
t.ɪ.n.eɪ.ʃ.ɪ.s	_'_	S3	tenacious	1	(AJ)
t.ɪ.n.æ.s.ɪ.t.i	_'__	S4	tenacity	5	(N)
t.ɛ.n.ɪ.n.s.i	'__	S3	tenancy	2	(N)
t.ɛ.n.ɪ.n.t	'_	S2	tenant	5	(N VT)
t.ɛ.n.d	'	S1	tend	43	(VI VT)
t.ɛ.n.d.ɪ.n.s.i	'__	S3	tendency	49	(N)
t.ɛ.n.d.ɚ	'_	S2	tender	11	(AJ VI N VT)
t.ɛ.n.d.ɚ.f.ʊ.t	'_`	S3	tenderfoot	3	(N)
t.ɛ.n.d.ɚ.h.ɑ.ɹ.t.ɪ.d	`_'_	S4	tenderhearted	0	(AJ)
t.ɛ.n.d.ɚ.aɪ.z	'_`	S3	tenderize	0	(VT)
t.ɛ.n.d.ɚ.l.ɔɪ.n	'_`	S3	tenderloin	0	(N)
t.ɛ.n.d.ɪ.n	'_	S2	tendon	1	(N)
t.ɛ.n.d.ɹ.l̩	'_	S2	tendril	0	(N)
t.ɛ.n.ə.m.ə.n.t	'__	S3	tenement	2	(N)
t.ɛ.n.ɪ.t	'_	S2	tenet	0	(N)
t.ɛ.n.f.oʊ.l.d	'`	S2	tenfold	1	(AJ)
t.ɛ.n.ɪ.s	'_	S2	tennis	16	(N)
t.ɛ.n.ɪ.n	'_	S2	tenon	0	(N VT)
t.ɛ.n.ɚ	'_	S2	tenor	6	(N AJ)
t.ɛ.n.p.ɛ.n.i	'`_	S3	tenpenny	0	(AJ)
t.ɛ.n.p.ɪ.n	'`	S2	tenpin	0	(N)
t.ɛ.n.s	'	S1	tense	15	(N AJ VT)
t.ɛ.n.s.l̩	'_	S2	tensile	5	(AJ)
t.ɛ.n.tʃ.ɪ.n	'_	S2	tension	61	(N VT)
t.ɛ.n.s.ɪ.t.i	'__	S3	tensity	0	(N)
t.ɛ.n.t	'	S1	tent	20	(N VI VT)
t.ɛ.n.t.ɪ.k.l̩	'__	S3	tentacle	1	(N)
t.ɛ.n.t.æ.k.j.ʊ.l.ɚ	_'__	S4	tentacular	0	(AJ)
t.ɛ.n.t.ɪ.t.ɪ.v	'__	S3	tentative	15	(AJ)
t.ɛ.n.u.ə.t.i	_'__	S4	tenuity	0	(N)
t.ɛ.n.j.u.ɪ.s	'__	S3	tenuous	6	(AJ)
t.ɛ.n.j.u.ɪ.s.l.i	'___	S4	tenuously	1	(AV)
t.ɛ.n.j.ɚ	'_	S2	tenure	12	(N)
t.i.p.i	'`	S2	tepee	0	(N)
t.ɛ.p.ɪ.d	'_	S2	tepid	1	(AJ)
t.ɪ.k.i.l.ə	_'_	S3	tequila	0	(N)
t.ɚ.b.i.ə.m	'__	S3	terbium	0	(N)
t.ɚ.s.ɛ.n.t.ɛ.n.ə.ɹ.i	``'__	S5	tercentenary	0	(N)
t.ə.ɹ.i.d.oʊ	_'`	S3	teredo	0	(N)
t.ɚ.m	'	S1	term	130	(N VT)
t.ɚ.m.ə.g.ə.n.t	'__	S3	termagant	0	(N AJ)
t.ɚ.m.ɪ.n.l̩	'__	S3	terminal	12	(AJ N)
t.ɚ.m.ə.n.eɪ.t	'_`	S3	terminate	12	(VT VI AJ)
t.ɚ.m.ə.n.eɪ.ʃ.ɪ.n	`_'_	S4	termination	8	(N)
t.ɚ.m.ə.n.ɑ.l.ə.dʒ.i	`_'__	S5	terminology	6	(N)
t.ɚ.m.ə.n.ɪ.s	'__	S3	terminus	2	(N)
t.ɚ.m.aɪ.t	'`	S2	termite	0	(N)
t.ɚ.n	'	S1	tern	0	(N)
t.ɛ.ɹ.ə.s	'_	S2	terrace	9	(N VT)
t.ɚ.eɪ.n	_'	S2	terrain	8	(N)
t.ɛ.ɹ.ə.p.ə.n	'__	S3	terrapin	0	(N)
t.ɚ.ɛ.s.t.ɹ.i.l̩	_'__	S4	terrestrial	7	(AJ)
t.ɛ.ɹ.ə.b.l̩	'__	S3	terrible	45	(AJ)
t.ɛ.ɹ.i.ɚ	'__	S3	terrier	7	(N)
t.ɚ.ɪ.f.ɪ.k	_'_	S3	terrific	5	(AJ)
t.ɛ.ɹ.ə.f.aɪ	'_`	S3	terrify	0	(VT)
t.ɛ.ɹ.ə.t.oʊ.ɹ.i.l̩	`_'__	S5	territorial	14	(AJ N)
t.ɛ.ɹ.ə.t.oʊ.ɹ.i	'_`_	S4	territory	31	(N)
t.ɛ.ɹ.ɚ	'_	S2	terror	26	(N)
t.ɚ.s	'	S1	terse	2	(AJ)
t.ɚ.ʃ.i.ɛ.ɹ.i	'_`_	S4	tertiary	1	(N AJ)
t.ɛ.s.ə.l.eɪ.t	'_`	S3	tessellate	0	(VT)
t.ɛ.s.t	'	S1	test	121	(VT VI N)
t.ɛ.s.t.ə.m.ə.n.t	'__	S3	testament	29	(N)
t.ɛ.s.t.ə.m.ɛ.n.t.ə.ɹ.i	`_'__	S5	testamentary	0	(AJ)
t.ɛ.s.t.eɪ.t.ɚ	'`_	S3	testator	0	(N)
t.ɛ.s.t.eɪ.t.ɹ.ɪ.k.s	_'_	S3	testatrix	0	(UNK)
t.ɛ.s.t.ɚ	'_	S2	tester	0	(N)
t.ɛ.s.t.i.z	'`	S2	testes	0	(N)
t.ɛ.s.t.ɪ.k.l̩	'__	S3	testicle	2	(N)
t.ɛ.s.t.ɪ.f.aɪ	'_`	S3	testify	8	(VI VT)
t.ɛ.s.t.ɪ.m.oʊ.n.i.l̩	`_'__	S5	testimonial	2	(AJ N)
t.ɛ.s.t.ɪ.m.oʊ.n.i	'_`_	S4	testimony	47	(N)
t.ɛ.s.t.ɪ.s	'_	S2	testis	0	(N)
t.ɛ.s.t.i	'_	S2	testy	0	(AJ)
t.ɛ.t.æ.n.ɪ.k	_'_	S3	tetanic	0	(AJ)
t.ɛ.t.ṇ.ɪ.s	'__	S3	tetanus	1	(N)
t.ɛ.ð.ɚ	'_	S2	tether	0	(N VT)
t.ɛ.t.ɹ.æ.m.ə.t.ɚ	_'__	S4	tetrameter	0	(N)
t.ɛ.k.s.t	'	S1	text	72	(N)
t.ɛ.k.s.t.b.ʊ.k	'`	S2	textbook	4	(N)
t.ɛ.k.s.t.aɪ.l	'`	S2	textile	32	(N)
t.ɛ.k.s.tʃ.u.l̩	'__	S3	textual	2	(AJ)
t.ɛ.k.s.tʃ.ɚ	'_	S2	texture	15	(N VT)
θ.æ.l.i.ə.m	'__	S3	thallium	0	(N)
ð.æ.n	'	S1	than	1796	(CJ PP)
θ.eɪ.n	'	S1	thane	0	(N)
θ.æ.ŋ.k	'	S1	thank	36	(N VT)
θ.æ.ŋ.k.s.g.ɪ.v.ɪ.ŋ	_'_	S3	thanksgiving	7	(N)
ð.æ.t	'	S1	that	10595	(AJ CJ PN AV)
θ.æ.tʃ	'	S1	thatch	0	(VT N)
θ.ɔ	'	S1	thaw	6	(VT VI N)
ð.ə	_	S1	the	4461	(DA AV)
θ.i.ə.t.ɚ	'__	S3	theatre	30	(N)
θ.i.æ.t.ɹ.ɪ.k.l̩	_'__	S4	theatrical	12	(AJ N)
ð.i	'	S1	thee	17	(PN)
θ.ɛ.f.t	'	S1	theft	10	(N)
θ.eɪ.n	'	S1	thegn	0	(N)
ð.ɛ.ɹ	'	S1	their	2668	(AJ)
ð.ɛ.ɹ.z	'	S1	theirs	21	(PN)
θ.i.ɪ.z.ṃ	'`_	S3	theism	0	(N)
θ.i.ɪ.s.t.ɪ.k	_'_	S3	theistic	1	(AJ)
ð.ɛ.m	'	S1	them	1787	(null)
θ.i.m	'	S1	theme	55	(N)
ð.ɛ.m.s.ɛ.l.v.z	`'	S2	themselves	270	(PN)
ð.ɛ.n	'	S1	then	1379	(AV N AJ)
θ.ɛ.n.s	'	S1	thence	6	(AV)
θ.ɛ.n.s.f.ɔ.ɹ.w.ɚ.d	`'_	S3	thenceforward	0	(AV)
θ.i.ɑ.k.ɹ.ɪ.s.i	_'__	S4	theocracy	1	(N)
θ.i.ə.k.ɹ.æ.t.ɪ.k	`_'_	S4	theocratic	0	(AJ)
θ.i.ə.l.oʊ.dʒ.ɪ.n	`_'_	S4	theologian	6	(N)
θ.i.ɑ.l.ə.dʒ.i	_'__	S4	theology	19	(N)
θ.ɪ.ɹ.ṃ	'_	S2	theorem	18	(N)
θ.ɪ.ɹ.ɛ.t.ɪ.k.l̩	`'__	S4	theoretical	21	(AJ)
θ.ɪ.ɹ.aɪ.z	'`	S2	theorize	2	(VI)
θ.ɪ.ɹ.i	'_	S2	theory	130	(N)
θ.i.ɪ.s.ɑ.f.ɪ.k.l̩	`_'__	S5	theosophical	0	(AJ)
θ.i.ɑ.s.ə.f.ə.s.t	_'__	S4	theosophist	0	(N)
θ.i.ɑ.s.ə.f.i	_'__	S4	theosophy	0	(N)
θ.ɛ.ɹ.ə.p.j.u.t.ɪ.k	`_'_	S4	therapeutic	13	(AJ)
θ.ɛ.ɹ.ə.p.i	'__	S3	therapy	12	(N)
ð.æ.ɹ	'	S1	there	2728	(AV PN N AJ)
ð.æ.ɹ.ə.b.aʊ.t	`_'	S3	thereabout	0	(AV)
ð.ɛ.ɹ.æ.f.t.ɚ	_'_	S3	thereafter	20	(AV)
ð.ɛ.ɹ.æ.t	`'	S2	thereat	0	(AV)
ð.æ.ɹ.b.aɪ	`'	S2	thereby	34	(AV)
ð.æ.ɹ.f.ɔ.ɹ	'`	S2	therefor	1	(AV)
ð.æ.ɹ.f.oʊ.ɹ	'`	S2	therefore	205	(AV)
ð.æ.ɹ.f.ɹ.ʌ.m	_'	S2	therefrom	5	(AV)
ð.ɛ.ɹ.ɪ.n	'`	S2	therein	9	(AV)
ð.æ.ɹ.t.u	_'	S2	thereto	11	(AV)
θ.ɚ.m.l̩	'_	S2	thermal	35	(AJ N)
θ.ɚ.m.oʊ.d.aɪ.n.æ.m.ɪ.k.s	`__'_	S5	thermodynamics	2	(N)
θ.ɚ.m.ɑ.m.ə.t.ɚ	_'__	S4	thermometer	10	(N)
θ.ɚ.m.oʊ.m.ɛ.t.ɹ.ɪ.k	`_'_	S4	thermometric	1	(AJ)
θ.ɚ.m.oʊ.n.u.k.l.i.ɚ	`_'__	S5	thermonuclear	2	(NIL)
θ.ɚ.m.oʊ.p.l.æ.s.t.ɪ.k	`_'_	S4	thermoplastic	1	(AJ)
θ.ɚ.m.oʊ.s.ɛ.t.ɪ.ŋ	'_`_	S4	thermosetting	0	(AJ)
θ.ɚ.m.oʊ.s.t.æ.t	'_`	S3	thermostat	6	(N VT)
θ.ɚ.m.oʊ.s.t.æ.t.ɪ.k	`_'_	S4	thermostatic	0	(AJ)
θ.ɪ.s.ɔ.ɹ.ɪ.s	_'_	S3	thesaurus	1	(N)
ð.i.z	'	S1	these	1573	(null)
θ.i.s.ɪ.s	'_	S2	thesis	10	(N)
θ.ɛ.s.p.i.ə.n	'__	S3	thespian	0	(AJ N)
θ.u	'	S1	thew	0	(N)
ð.eɪ	'	S1	they	3624	(PN)
θ.aɪ.ə.m.i.n	'_`	S3	thiamine	0	(N)
θ.ɪ.k	'	S1	thick	73	(AJ N AV)
θ.ɪ.k.ɪ.n	'_	S2	thicken	1	(VT VI)
θ.ɪ.k.ɪ.t	'_	S2	thicket	1	(N)
θ.ɪ.k.s.ɛ.t	'`	S2	thickset	0	(AJ)
θ.i.f	'	S1	thief	8	(N)
θ.i.v	'	S1	thieve	0	(VB)
θ.i.v.ɚ.i	'__	S3	thievery	0	(N)
θ.i.v.z	'	S1	thieves	9	(N)
θ.aɪ	'	S1	thigh	10	(N)
θ.ɪ.m.b.l̩	'_	S2	thimble	2	(N)
θ.ɪ.n	'	S1	thin	95	(AJ AV VT VI)
ð.aɪ.n	'	S1	thine	1	(AJ PN)
θ.ɪ.ŋ	'	S1	thing	333	(N)
θ.ɪ.ŋ.k	'	S1	think	433	(VT VI N AJ)
θ.ɪ.n.ɚ	'_	S2	thinner	6	(N)
θ.ɚ.d	'	S1	third	218	(AJ N)
θ.ɚ.s.t	'	S1	thirst	4	(N VI)
θ.ɚ.t.i.n	`'	S2	thirteen	11	(null)
θ.ɚ.t.i	'_	S2	thirty	114	(N)
ð.ɪ.s	'	S1	this	5145	(PN AJ AV)
θ.ɪ.s.l̩	'_	S2	thistle	0	(N)
θ.ɪ.ð.ɚ	'_	S2	thither	1	(AV AJ)
θ.oʊ.l	'	S1	thole	0	(VB N)
θ.ɔ.ŋ	'	S1	thong	1	(N)
θ.ə.ɹ.eɪ.s.i.z	_'`	S3	thoraces	0	(N)
θ.ɚ.æ.s.ɪ.k	_'_	S3	thoracic	0	(AJ)
θ.oʊ.ɹ.æ.k.s	'`	S2	thorax	0	(N)
θ.oʊ.ɹ.i.ə.m	'__	S3	thorium	0	(N)
θ.ɔ.ɹ.n	'	S1	thorn	3	(N)
θ.ɚ.oʊ	'`	S2	thorough	21	(PP AV AJ)
θ.ɚ.oʊ.b.ɹ.ɛ.d	'_`	S3	thoroughbred	0	(AJ N)
θ.ɚ.oʊ.g.oʊ.ɪ.ŋ	`_'_	S4	thoroughgoing	2	(AJ)
θ.ɔ.ɹ.p	'	S1	thorp	0	(N)
ð.oʊ.z	'	S1	those	850	(null)
ð.aʊ	'	S1	thou	16	(PN VT N)
ð.oʊ	'	S1	though	440	(AV CJ)
θ.ɔ.t	'	S1	thought	517	(N)
θ.aʊ.z.ṇ.d	'_	S2	thousand	101	(N)
θ.ɹ.ɔ.l	'	S1	thrall	0	(N VT)
θ.ɹ.æ.ʃ	'	S1	thrash	1	(VT VI N)
θ.ɹ.ɛ.d	'	S1	thread	15	(N VT VI)
θ.ɹ.ɛ.t	'	S1	threat	42	(N VB)
θ.ɹ.i	'	S1	three	704	(N)
θ.ɹ.i.f.oʊ.l.d	'`	S2	threefold	3	(AJ)
θ.ɹ.ɪ.p.ə.n.s	'_	S2	threepence	0	(N)
θ.ɹ.i.s.k.oʊ.ɹ	'`	S2	threescore	0	(AJ)
θ.ɹ.ɛ.n.ɪ.d.i	'__	S3	threnody	0	(N)
θ.ɹ.æ.ʃ	'	S1	thresh	0	(VT VI)
θ.ɹ.ɛ.ʃ.h.oʊ.l.d	'`	S2	threshold	15	(N)
θ.ɹ.u	'	S1	threw	46	(null)
θ.ɹ.aɪ.s	'	S1	thrice	1	(AV)
θ.ɹ.ɪ.f.t	'	S1	thrift	5	(N)
θ.ɹ.ɪ.l	'	S1	thrill	5	(VT VI)
θ.ɹ.aɪ.v	'	S1	thrive	1	(VI)
θ.ɹ.ɪ.v.ə.n	'_	S2	thriven	0	(VI)
θ.ɹ.aɪ.v.ɪ.ŋ	'_	S2	thriving	4	(AJ)
θ.ɹ.oʊ.t	'	S1	throat	51	(N VT)
θ.ɹ.ɑ.b	'	S1	throb	0	(VI N)
θ.ɹ.oʊ	'	S1	throe	0	(N)
θ.ɹ.ɑ.m.b.oʊ.s.ɪ.s	_'_	S3	thrombosis	1	(N)
θ.ɹ.oʊ.n	'	S1	throne	5	(N VT VI)
θ.ɹ.ɔ.ŋ	'	S1	throng	3	(N VT VI)
θ.ɹ.ɑ.t.l̩	'_	S2	throttle	6	(VT VI N)
θ.ɹ.u	'	S1	through	974	(PP AV AJ)
θ.ɹ.u.aʊ.t	_'	S2	throughout	141	(AV PP)
θ.ɹ.u.w.eɪ	'`	S2	throughway	0	(N)
θ.ɹ.oʊ.v	'	S1	throve	0	(null)
θ.ɹ.oʊ	'	S1	throw	43	(VT VI N)
θ.ɹ.oʊ.n	'	S1	thrown	40	(VI VT)
θ.ɹ.ʌ.m	'	S1	thrum	0	(VI VT N)
θ.ɹ.ʌ.ʃ	'	S1	thrush	2	(N)
θ.ɹ.ʌ.s.t	'	S1	thrust	25	(VT VI N)
θ.ʌ.d	'	S1	thud	3	(VI N)
θ.ʌ.g	'	S1	thug	1	(N)
θ.u.l.i.ə.m	'__	S3	thulium	0	(N)
θ.ʌ.m	'	S1	thumb	12	(N VT)
θ.ʌ.m.p	'	S1	thump	3	(VT VI N)
θ.ʌ.n.d.ɚ	'_	S2	thunder	15	(N VI VT)
θ.ʌ.n.d.ɚ.ə.s	'__	S3	thunderous	2	(AJ)
θ.ʌ.n.d.ɚ.ʃ.aʊ.ɚ	'_`_	S4	thundershower	0	(N)
ð.ʌ.s	'	S1	thus	311	(AV)
θ.w.æ.k	'	S1	thwack	1	(VT N)
θ.w.ɔ.ɹ.t	'	S1	thwart	3	(AV AJ VT N)
ð.aɪ	'	S1	thy	12	(AJ)
t.aɪ.m	'	S1	thyme	0	(N)
θ.aɪ.m.ə.s	'_	S2	thymus	0	(N)
